"filename", "language", "XML", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\404.html", "HTML", 0, 0, 73, 0, 0, 3, 76
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\README.md", "Markdown", 0, 0, 0, 11, 0, 1, 12
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\index.html", "HTML", 0, 0, 210, 0, 30, 6, 246
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\404\style.css", "CSS", 0, 97, 0, 0, 0, 1, 98
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\about\index.html", "HTML", 0, 0, 398, 0, 0, 4, 402
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\about\style.css", "CSS", 0, 521, 0, 0, 1, 1, 523
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\app\index.html", "HTML", 0, 0, 175, 0, 21, 3, 199
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\app\privacy-policy\index.html", "HTML", 0, 0, 88, 0, 0, 3, 91
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\app\privacy-policy\style.css", "CSS", 0, 91, 0, 0, 1, 1, 93
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\app\style.css", "CSS", 0, 472, 0, 0, 3, 1, 476
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\contact\index.html", "HTML", 0, 0, 96, 0, 0, 4, 100
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\contact\style.css", "CSS", 0, 267, 0, 0, 0, 1, 268
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\credits\index.html", "HTML", 0, 0, 69, 0, 0, 3, 72
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\credits\style.css", "CSS", 0, 93, 0, 0, 1, 1, 95
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\downloads\index.html", "HTML", 0, 0, 480, 0, 0, 4, 484
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\downloads\style.css", "CSS", 0, 183, 0, 0, 1, 1, 185
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\first-page\style.css", "CSS", 0, 511, 0, 0, 1, 1, 513
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\gallery\index.html", "HTML", 0, 0, 180, 0, 0, 4, 184
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\gallery\style.css", "CSS", 0, 77, 0, 0, 1, 1, 79
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\github\index.html", "HTML", 0, 0, 102, 0, 0, 4, 106
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\github\style.css", "CSS", 0, 199, 0, 0, 1, 2, 202
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\globals\global-fonts.css", "CSS", 0, 36, 0, 0, 0, 1, 37
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\globals\global-footer\global-footer.css", "CSS", 0, 255, 0, 0, 0, 1, 256
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\globals\global-footer\global-footer.html", "HTML", 0, 0, 183, 0, 0, 10, 193
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\globals\global-navbar\global-navbar.css", "CSS", 0, 217, 0, 0, 2, 4, 223
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\globals\global-navbar\global-navbar.html", "HTML", 0, 0, 41, 0, 0, 3, 44
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\globals\global-preloader\global-preloader.css", "CSS", 0, 16, 0, 0, 0, 0, 16
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\globals\global-preloader\global-preloader.html", "HTML", 0, 0, 24, 0, 0, 2, 26
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\globals\global-scrollbar.css", "CSS", 0, 34, 0, 0, 0, 1, 35
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\globals\global-top-button\global-top-button.css", "CSS", 0, 35, 0, 0, 0, 1, 36
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\globals\global-top-button\global-top-button.html", "HTML", 0, 0, 33, 0, 0, 4, 37
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\index.html", "HTML", 0, 0, 67, 0, 0, 3, 70
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\pages\style.css", "CSS", 0, 64, 0, 0, 1, 1, 66
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\privacy\index.html", "HTML", 0, 0, 88, 0, 0, 3, 91
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\privacy\style.css", "CSS", 0, 84, 0, 0, 1, 1, 86
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\sitemap\index.html", "HTML", 0, 0, 109, 0, 0, 3, 112
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\sitemap\style.css", "CSS", 0, 98, 0, 0, 1, 1, 100
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\templates\apple-style-nav-bar\index.html", "HTML", 0, 0, 68, 0, 0, 5, 73
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\templates\apple-style-nav-bar\style.css", "CSS", 0, 133, 0, 0, 2, 1, 136
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\templates\index.html", "HTML", 0, 0, 192, 0, 34, 8, 234
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\templates\modern-footer\index.html", "HTML", 0, 0, 68, 0, 0, 5, 73
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\templates\modern-footer\style.css", "CSS", 0, 133, 0, 0, 2, 1, 136
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\templates\simple-old-school\index.html", "HTML", 0, 0, 106, 0, 0, 9, 115
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\templates\simple-old-school\style.css", "CSS", 0, 203, 0, 0, 2, 0, 205
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\templates\style.css", "CSS", 0, 227, 0, 0, 2, 1, 230
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\terms-of-use\index.html", "HTML", 0, 0, 129, 0, 0, 3, 132
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\pages\terms-of-use\style.css", "CSS", 0, 92, 0, 0, 1, 2, 95
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\about\python.svg", "XML", 112, 0, 0, 0, 1, 1, 114
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\first-page\fonts\README.md", "Markdown", 0, 0, 0, 9, 0, 8, 17
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\first-page\icons\form.svg", "XML", 1, 0, 0, 0, 0, 0, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\first-page\icons\gmail.svg", "XML", 38, 0, 0, 0, 1, 1, 40
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\first-page\icons\instagram.svg", "XML", 63, 0, 0, 0, 1, 4, 68
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\first-page\icons\linkedin.svg", "XML", 1, 0, 0, 0, 0, 0, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\first-page\icons\telegram.svg", "XML", 1, 0, 0, 0, 0, 0, 1
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\first-page\icons\twitter.svg", "XML", 16, 0, 0, 0, 1, 0, 17
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\apple-style-nav-bar\index.html", "HTML", 0, 0, 47, 0, 0, 3, 50
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\apple-style-nav-bar\style.css", "CSS", 0, 200, 0, 0, 1, 4, 205
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\modern-footer\index.html", "HTML", 0, 0, 117, 0, 1, 7, 125
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\modern-footer\style.css", "CSS", 0, 194, 0, 0, 0, 1, 195
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\simple-old-school\simple-old-school\404.html", "HTML", 0, 0, 55, 0, 0, 0, 55
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\simple-old-school\simple-old-school\index.html", "HTML", 0, 0, 73, 0, 8, 0, 81
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\simple-old-school\simple-old-school\pages\404\404-style.css", "CSS", 0, 78, 0, 0, 1, 1, 80
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\simple-old-school\simple-old-school\pages\first-page\style.css", "CSS", 0, 147, 0, 0, 1, 1, 149
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\simple-old-school\simple-old-school\pages\gallery\index.html", "HTML", 0, 0, 33, 0, 1, 0, 34
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\simple-old-school\simple-old-school\pages\gallery\style.css", "CSS", 0, 97, 0, 0, 1, 1, 99
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\simple-old-school\simple-old-school\pages\github\index.html", "HTML", 0, 0, 41, 0, 0, 1, 42
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\simple-old-school\simple-old-school\pages\github\style.css", "CSS", 0, 99, 0, 0, 1, 1, 101
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\simple-old-school\simple-old-school\resources\first-page\icons\gmail.svg", "XML", 38, 0, 0, 0, 1, 1, 40
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\simple-old-school\simple-old-school\resources\first-page\icons\instagram.svg", "XML", 63, 0, 0, 0, 1, 4, 68
"c:\Users\sande\Desktop\iArsh\iDocuments\Very Important\website\arshsaxena.github.io - Copy\resources\templates\simple-old-school\simple-old-school\resources\first-page\icons\linkedin.svg", "XML", 1, 0, 0, 0, 0, 0, 1
